brand,color,desc,retailPrice,title
Influence,white multi,Dress by Influence    Our kind of flowersAll-over floral printHigh neckShort sleevesTie-keyhole frontTiered skirtFrill trimRegular fitTrue to size,32,Influence mini dress in white floral print
ASOS DESIGN,apricot,"Beach dress by ASOS DESIGN    Dreaming of the beach    Tie halterneck styleCut-out frontElasticated waistShirred, stretch backDouble thigh splitsRegular fitTrue to size",32.2,ASOS DESIGN cross neck halter beach dress in apricot
ASOS Tall,khaki,Tall dress by ASOS DESIGN    Doing it for the glamHalter neckCut-out designSide splitsTie backRegular fitTrue to size,34.4,ASOS DESIGN tall cross waist halter maxi beach dress in khaki
ASOS DESIGN,tan wash,"Dress by ASOS DESIGN    The baggier, the better     Acid wash Crew neck Drop shouldersOversized fitRelaxed and roomy",13.05,ASOS DESIGN oversized long sleeve t-shirt dress in tan acid wash
ASOS DESIGN,white,Mini dress by ASOS DESIGN    The scroll is over    Square neck    Adjustable straps    Overlay detail     Side pockets     Regular fitTrue to size,22.4,ASOS DESIGN broderie strappy overlayer mini dress in white
ASOS DESIGN,green,Dress by ASOS DESIGN    Stick it on repeatPlain designCrew neckDrop shouldersSmock detail to reverseCurved hemOversized fitRelaxed and roomy,23.2,ASOS DESIGN oversized smock back sweat dress in green
New Look Plus,black,Plus-size dress by New Look          The scroll is overV-neck    Short sleeves    Belted waist     Regular fitTrue to size,27.3,New Look Curve belted dress in black
ASOS DESIGN,yellow,"Beach dress by ASOS DESIGN    Your bikini’s BFFPlunge neckCami strapsShirred, stretch waistTiered skirtTie backRegular fitTrue to size",22.4,ASOS DESIGN tiered skinny tie beach dress in yellow
Parisian,blue/white,Dress by Parisian    The scroll is over    Off-shoulder style    Ruffle overlay     Regular fit ,32,Parisian off shoulder frill overlay mini dress in blue
Influence,blue multi,"Dress by Influence    Brunch, anyone?Floral printSquare neckPuff sleevesElasticated cuffsTie backRegular fitTrue to size",32,Influence puff sleeve mini dress in ditsy floral print
Missguided,white,Mini dress by Missguided    The scroll is over    Spread collarVolume sleevesButton cuffsButton-through front    Cinched waistRegular fitTrue to size,38.4,Missguided shirt dress with cinched waist in white
ASOS DESIGN,multi,Midi dress by ASOS DESIGN     Crack the dress codeAll-over floral printScoop neckBlouson sleeves with ruffle trim    Tie cuffsElastic waist with tassel detailCrochet-lace trimsHanky hemRegular fitTrue to size,55.2,ASOS DESIGN drape ruffle midi dress with lace insert and tassel detail in blurred floral
In The Style Plus,blue polka,Plus-size dress by In The StyleCollaboration with influencer Lorna LuxeAll-over polka-dot printHigh neckPuff sleevesFitted waistRegular fitTrue to size,46.4,In The Style Plus x Lorna Luxe puff sleeve midi dress in navy polka dot print
ASOS DESIGN,black/white check,Midi dress by ASOS DESIGN     Crack the dress codeAll-over check printRound neckLong sleevesButton cuffsKeyhole backPeplum hemSmock styleRelaxed fitLoose cut,29.9,ASOS DESIGN oversized check midi smock dress with pephem in black and white
ASOS DESIGN,purple ash,Midi dress by ASOS DESIGN     Part of our responsible editCrew neckShort sleevesTiered skirtSmock styleRegular fitTrue to size,25.6,ASOS DESIGN tiered smock t-shirt midi dress in purple ash
ASOS DESIGN,black/yellow flirty,Mini dress by ASOS DESIGN    The scroll is overFloral print V-neck    Long sleeves    Elasticated cuffs Frill trimRegular fitTrue to size,27.5,ASOS DESIGN plisse V-neck long sleeve mini dress with ruffle hem and cuffs in black and yellow flirty floral
Stradivarius,black,"Midi dress by StradivariusWorn and shot by one of our models at homeAll-over dot printSquare neckLong sleevesShirred, stretch bodiceSide splitRegular fitTrue to size#AtHomeWithASOS",32.2,Stradivarius shirred top midi dress with slit detail in dot print
Brave Soul,light gray / black,Dress by Brave Soul    Your new go-toContrast crew neckShort sleevesRegular fitTrue to size,7.15,Brave Soul Lennie contrast ringer T-shirt dress in gray
Brave Soul,black,Dress by Brave Soul    The scroll is over     Plain designCrew neckShort sleevesSmock style    Regular fitTrue to size,15.5,Brave Soul lara smock dress in black
ASOS DESIGN,khaki,Midi dress by ASOS DESIGN    Your new go-to Revere collarButton placketThree-quarter-length sleevesAdjustable tie waistRegular fitTrue to size,40,ASOS DESIGN button through midi shirt dress with ruched waist in khaki
Collusion,blue/black,Mini dress by COLLUSION    Part of our responsible editGingham designAll-over letter and flower printRound neckShort sleevesButton-keyhole backSmock styleRegular fitTrue to sizeExclusive to ASOS,28,COLLUSION seersucker gingham mini smock dress in blue print
New Look,black pattern,Midi dress by New LookCute dress All-over print Shoulder pads Long sleeves Fitted cuffs     Split to hem    Regular fit True to size ,17.55,New Look shoulder pad midi dress with splits in black
Closet London,taupe,Dress by Closet    Très chicV-neckShort sleevesGathered detail to frontSide pocketsTie backZip-back fasteningRegular fitTrue to size,60.8,Closet London gathered tulip mini dress in taupe
ASOS Petite,blush,Petite dress by ASOS DESIGN    Crack the dress code Sequinned disc embellishment     Square neck     Cami straps     Regular fitTrue to size,85.6,ASOS DESIGN Petite disc sequin cami embellished mini dress
New Look,bright blue,Dress by New Look    Cute dressSquare neckShort puff sleevesOpen back with tieSmock styleRegular fitTrue to size,31.2,New Look tie back shirred poplin mini dress in bright blue
ASOS Petite,sage,"Petite dress by ASOS DESIGN    Simple, meet stylishPlain designRound neckShort sleevesSmock styleOversized fitRelaxed and roomy",25.6,ASOS DESIGN Petite oversized midi smock dress in sage
ASOS Curve,rust spot,Plus-size dress by ASOS DESIGNCrack the dress codeAll-over spot printRound neckLong sleevesTiered skirtSmock styleRegular fitTrue to size,28.8,ASOS DESIGN Curve long sleeve tiered smock midi dress in rust polka dot
ASOS DESIGN,black,Mini dress by ASOS DESIGN    This dress deserves a night out V-neckSheer puff sleevesWrap front Low backRuched seam through reversePull-on styleBody-Conscious fit Figure-hugging cut ,12.7,ASOS DESIGN textured mesh puff sleeve wrap mini dress in black
Club L London Plus,mushroom,Plus-size dress by Club L          Your new favorite dress    Ruched designSweetheart neckOff-shoulder styleLong sleevesBody-Conscious fitFigure-hugging cut,51.2,Club L London Plus sweetheart neck all over ruched midi pencil dress in mushroom
